,Salary,logSal,normSal,Player,SC,G,Gmin,SOG,Year
0,175000.0,12.072541252905651,1.880242412727064,Chris Wondolowski,14.7,16,0.54,52,2011
1,5600000.0,15.538277155705378,78.57434082659415,Thierry Henry,21.5,14,0.56,30,2011
2,656000.0,13.393916067926225,8.68021685273998,Fredy Montero,11.1,12,0.47,42,2011
4,133545.0,11.802193778675882,1.294186403557136,Camilo Sanvezzo,14.5,12,0.43,37,2011
5,97004.0,11.482507493748695,0.7776004035311235,Dominic Oduro,15.4,12,0.41,40,2011
6,179000.0,12.095141084822892,1.9367910567188555,Sébastien Le Toux,13.6,11,0.32,30,2011
8,305625.0,12.630114139211274,3.726909068084002,Álvaro Saborío,16.7,11,0.51,24,2011
9,900000.0,13.710150042306449,12.129684136239256,Eric Hassli,13.9,10,0.48,28,2011
10,1250000.0,14.038654109278484,17.077690485521003,Juan Pablo Angel,12.8,10,0.39,32,2011
11,202500.0,12.218495165528731,2.2690143401706298,Kei Kamara,9.9,9,0.37,29,2011
15,87500.0,11.379394072345706,0.6432408254066271,Justin Braun,11.6,8,0.35,29,2011
16,267500.0,12.496874845318198,3.18792980503724,Kenny Cooper,10.3,8,0.28,30,2011
18,126000.0,11.744037185933616,1.1875215238276193,Maicon Santos,8.7,8,0.36,25,2011
24,225333.0,12.325334587065957,2.5918081372367734,Chad Barrett,14.3,7,0.4,19,2011
27,115000.0,11.652687407345388,1.032012752850193,Jorge Perlaza,18.2,6,0.25,12,2011
28,85000.0,11.350406535472453,0.6078979229117576,Juan Agudelo,13.6,6,0.4,17,2011
32,160000.0,11.982929094215963,1.6681849977578462,Josh Wolff,12.2,5,0.23,17,2011
36,42000.0,10.645424897265505,0.0,C.J. Sapong,9.4,5,0.21,25,2011
39,226250.0,12.329395861562173,2.604771913871891,Danny Mwanga,13.5,5,0.29,20,2011
41,47333.0,10.76496300563697,0.07539347960205589,Steven Lenhart,14.7,5,0.39,14,2011
46,412500.0,12.929991484756872,5.237818149739678,Brian Ching,16.1,5,0.36,14,2011
47,125000.0,11.736069016284437,1.1733843628296716,Will Bruin,9.3,5,0.27,23,2011
57,89188.0,11.39850178037026,0.6671043531711631,Omar Cummings,8.8,3,0.16,10,2011
62,131250.0,11.78485918045387,1.2617416190668456,Ryan Johnson,6.5,3,0.13,15,2011
72,42000.0,10.645424897265505,0.0,Tom Heinemann,6.7,3,0.21,15,2011
305,300000.0,12.611537753638338,3.647387537470545,Chris Wondolowski,21.3,27,0.86,55,2012
306,292500.0,12.58621994565405,3.541358829985936,Kenny Cooper,21.4,18,0.65,46,2012
307,405625.0,12.913184366440492,5.140625167878786,Álvaro Saborío,19.5,17,0.64,40,2012
308,3417242.0,15.044344350948439,47.7163395610355,Robbie Keane,17.0,16,0.57,43,2012
309,5600000.0,15.538277155705378,78.57434082659415,Thierry Henry,17.0,15,0.64,37,2012
310,106333.0,11.57433095829772,0.909485978480979,Eddie Johnson,19.4,14,0.59,25,2012
311,756000.0,13.53579665516167,10.093932952534765,Fredy Montero,10.3,13,0.45,46,2012
312,120000.0,11.695247021764184,1.1026985578399322,Alan Gordon,30.2,13,0.9,25,2012
314,135000.0,11.813030057420567,1.31475597280915,Will Bruin,15.4,12,0.43,35,2012
315,212500.0,12.266697267346608,2.410385950150108,Kei Kamara,8.2,11,0.34,49,2012
316,187500.0,12.141534124392603,2.056956925201412,Steven Lenhart,15.6,10,0.55,33,2012
319,225375.0,12.325520960505619,2.592401897998687,Jairo Arrieta,22.0,9,0.53,21,2012
320,309250.0,12.641905290254734,3.778156276701563,Blas Pérez,17.0,9,0.48,23,2012
321,1563323.0,14.262324241924405,21.507188180881016,Danny Koevermans,23.1,9,0.68,24,2012
323,82000.0,11.314474526246391,0.565486439917914,C.J. Sapong,14.8,9,0.37,24,2012
325,140166.0,11.85058271347315,1.3877885465245485,Jack McInerney,19.0,8,0.44,19,2012
327,195000.0,12.180754837545884,2.162985632686021,Lionard Pajoy,13.6,8,0.29,20,2012
330,137813.0,11.833652972734635,1.3545238066963772,Ryan Johnson,10.4,7,0.23,23,2012
331,113833.0,11.642487741062897,1.015514685965588,Maicon Santos,10.9,7,0.43,19,2012
332,192000.0,12.165250651009918,2.1205741496921773,Darren Mattocks,18.4,7,0.48,16,2012
333,1515000.0,14.230925996925606,20.824038149977184,Kris Boyd,11.1,7,0.33,28,2012
336,108880.0,11.598001637325348,0.9454933275427522,Dominic Oduro,11.1,6,0.3,25,2012
338,95999.0,11.472093053729052,0.763392556728186,Omar Cummings,7.9,6,0.27,28,2012
341,487460.0,13.096963514771597,6.297539738145849,Hamdi Salihi,18.8,6,0.57,17,2012
344,237500.0,12.377922902456833,2.763814975098805,Camilo Sanvezzo,7.8,5,0.26,24,2012
346,236000.0,12.371587084007746,2.742609233601883,Brian Ching,14.3,5,0.32,15,2012
347,790000.0,13.579788224443204,10.574596426464991,Eric Hassli,10.2,5,0.31,16,2012
350,1937508.0,14.476913169233372,26.797101768898134,Marco Di Vaio,10.2,5,0.33,15,2012
352,169000.0,12.037653993905211,1.795419446739377,Sébastien Le Toux,14.7,5,0.18,16,2012
354,519000.0,13.159659162148026,6.743425796021124,Freddy Adu,15.2,5,0.31,13,2012
360,487125.0,13.09627604264101,6.292803789211536,Sherjill MacDonald,12.5,4,0.35,11,2012
367,162988.0,12.00143185744694,1.7104268348197142,Macoumba Kandji,11.8,4,0.22,16,2012
374,600000.0,13.304684934198283,7.8885358368549,Juan Pablo Angel,8.0,4,0.36,18,2012
384,100000.0,11.512925464970229,0.8199553378809753,Juan Agudelo,6.8,3,0.17,16,2012
393,225000.0,12.323855681186558,2.5871004626244565,Edson Buddle,9.7,3,0.28,9,2012
415,400000.0,12.89921982609012,5.06110363726533,Conor Casey,5.3,2,0.16,12,2012
782,247500.0,12.419165860990882,2.905186585078283,Camilo Sanvezzo,17.9,22,0.82,55,2013
784,1937508.0,14.476913169233372,26.797101768898134,Marco Di Vaio,16.9,20,0.66,53,2013
785,4333333.0,15.281847549834621,60.66726551680654,Robbie Keane,24.6,16,0.73,29,2013
787,122015.0,11.711899266977234,1.1311849372507972,Dominic Oduro,14.1,13,0.41,36,2013
788,453333.0,13.024382233749737,5.815080844768882,Álvaro Saborío,22.6,12,0.8,21,2013
789,189667.0,12.153025181908058,2.0875921530839654,Jack McInerney,14.0,12,0.49,30,2013
792,324250.0,12.689270102178691,3.9902136916707804,Blas Pérez,19.6,11,0.49,29,2013
793,600000.0,13.304684934198283,7.8885358368549,Chris Wondolowski,10.9,11,0.38,44,2013
796,4350000.0,15.285686403064867,60.902889579159336,Thierry Henry,10.9,10,0.36,29,2013
797,175000.0,12.072541252905651,1.880242412727064,Conor Casey,15.6,10,0.41,26,2013
798,200000.0,12.206072645530174,2.2336714376757603,Claudio Bieler,14.3,10,0.43,27,2013
799,113000.0,11.635143097694478,1.0037384308542974,Deshorn Brown,10.3,10,0.41,30,2013
801,144704.0,11.882445555637641,1.451942983133236,Ryan Johnson,20.9,9,0.46,22,2013
805,156333.0,11.959743626561872,1.6163440283783717,Eddie Johnson,17.6,9,0.47,27,2013
807,165000.0,12.013700752882718,1.7388708027475854,Will Bruin,8.2,8,0.28,30,2013
808,1725000.0,14.360737608447597,23.792841959546234,Obafemi Martins,18.6,8,0.49,16,2013
810,1132492.0,13.939931072296716,15.416460970974146,Kenny Miller,19.5,8,0.44,15,2013
811,155150.0,11.952147669876526,1.5996197669177992,Robert Earnshaw,11.6,8,0.38,22,2013
814,302500.0,12.619836556453032,3.6827304399654146,Kei Kamara,16.7,7,0.62,13,2013
815,129996.0,11.775258959733568,1.244013619175419,Erick Torres,15.6,7,0.47,21,2013
817,205500.0,12.233201312918426,2.3114258231644733,Robbie Findley,16.7,6,0.43,15,2013
819,342500.0,12.744026936684417,4.248216879883328,Kenny Cooper,13.3,6,0.31,21,2013
823,120000.0,11.695247021764184,1.1026985578399322,Olmes García,15.2,5,0.45,15,2013
825,275000.0,12.524526376648708,3.293958512521849,Edson Buddle,8.9,5,0.27,17,2013
840,46500.0,10.747207591575448,0.06361722449076533,Soony Saad,6.9,4,0.27,15,2013
842,196667.0,12.18926722212761,2.1865522800696002,Alan Gordon,10.0,4,0.25,14,2013
845,92000.0,11.429543856031177,0.7068580498973925,C.J. Sapong,12.1,4,0.23,13,2013
846,217500.0,12.289954129510877,2.4810717551398476,Steven Lenhart,11.4,4,0.27,13,2013
851,212813.0,12.268169124809258,2.414810881542466,Sébastien Le Toux,8.8,3,0.12,13,2013
859,225375.0,12.325520960505619,2.592401897998687,Jairo Arrieta,4.7,3,0.15,18,2013
875,212000.0,12.26434155365415,2.4033173696511345,Darren Mattocks,6.7,3,0.3,14,2013
902,156363.0,11.959935506215542,1.6167681432083099,Tristan Bowen,6.3,2,0.15,7,2013
909,120000.0,11.695247021764184,1.1026985578399322,Juan Luis Anangonó,5.9,2,0.21,10,2013
911,48375.0,10.786738430332083,0.09012440136191754,Jose Villarreal,5.4,2,0.16,12,2013
1205,372500.0,12.827992316801751,4.672331709821764,Bradley Wright-Phillips,24.8,27,0.94,57,2014
1206,92500.0,11.434963923500517,0.7139266303963664,Dom Dwyer,19.5,22,0.73,48,2014
1207,4500000.0,15.319587954740548,63.02346372885152,Robbie Keane,15.6,19,0.67,54,2014
1209,1753333.0,14.377029105931696,24.193390142101087,Obafemi Martins,22.1,17,0.59,36,2014
1212,152004.0,11.931662115271633,1.5551442584182553,Erick Torres,15.8,15,0.54,32,2014
1213,650000.0,13.38472764187182,8.595393886752293,Chris Wondolowski,18.2,14,0.54,36,2014
1215,262813.0,12.479198031644621,3.1216689314398587,Sébastien Le Toux,24.0,12,0.53,21,2014
1219,359250.0,12.791773803941272,4.4850143265989555,Blas Pérez,20.0,11,0.48,21,2014
1222,6180000.0,15.636828829433874,86.7738942054039,Jermain Defoe,19.0,11,0.65,25,2014
1224,4350000.0,15.285686403064867,60.902889579159336,Thierry Henry,11.6,10,0.34,28,2014
1226,200000.0,12.206072645530174,2.2336714376757603,Maximiliano Urruti,21.3,10,0.76,15,2014
1227,180000.0,12.100712129872347,1.9509282177168032,Will Bruin,14.7,10,0.43,31,2014
1228,123000.0,11.719939634354555,1.1451100408337758,Deshorn Brown,8.3,10,0.39,46,2014
1231,593300.0,13.293455452246734,7.7938168581686496,Fanendo Adi,17.0,9,0.54,24,2014
1232,2600000.0,14.77102200299171,36.1628578327506,Marco Di Vaio,12.0,9,0.47,32,2014
1234,60000.0,11.002099841204238,0.2544688979630613,Quincy Amarikwa,10.5,8,0.28,29,2014
1236,192500.0,12.167851432709975,2.1276427301911514,Conor Casey,20.5,8,0.5,17,2014
1237,453333.0,13.024382233749737,5.815080844768882,Álvaro Saborío,17.0,8,0.63,18,2014
1238,294167.0,12.591902912265313,3.5649254773695156,Jack McInerney,14.3,8,0.34,19,2014
1240,242000.0,12.396693005138824,2.82743219958957,Andrew Wenger,10.6,7,0.3,27,2014
1242,613333.0,13.32666329743865,8.077026604440539,Eddie Johnson,16.7,7,0.32,18,2014
1248,128333.0,11.762383727195841,1.2205035204358317,Luke Moore,10.3,6,0.25,23,2014
1251,232000.0,12.354492650648448,2.6860605896100913,Darren Mattocks,11.1,6,0.3,23,2014
1263,206667.0,12.23886408125509,2.3279238900490786,Alan Gordon,12.8,5,0.38,17,2014
1264,135000.0,11.813030057420567,1.31475597280915,Jairo Arrieta,11.4,5,0.36,16,2014
1265,143000.0,11.870599909242044,1.4278532607927328,Sebastián Fernández,9.3,5,0.23,17,2014
1277,100000.0,11.512925464970229,0.8199553378809753,Patrick Mullins,10.8,4,0.3,16,2014
1289,264000.0,12.483704382128453,3.1384497415444224,Omar Cummings,8.6,3,0.21,14,2014
1300,51150.0,10.842517771379773,0.12935502313122282,Soony Saad,9.7,3,0.3,12,2014
1302,125000.0,11.736069016284437,1.1733843628296716,Olmes García,9.7,3,0.23,12,2014
1306,251667.0,12.435862064065486,2.9640961349567316,Dominic Oduro,5.1,2,0.09,13,2014
1330,325000.0,12.691580461311874,4.000816562419241,Edson Buddle,6.1,2,0.16,9,2014
1373,257500.0,12.458774999085929,3.0465581950577616,Steven Lenhart,3.2,1,0.1,12,2014
1681,7115556.0,15.777793931217529,100.0,Sebastian Giovinco,12.2,22,0.71,73,2015
1682,536666.0,13.193131206055739,6.993172882210871,Kei Kamara,16.3,22,0.72,57,2015
1683,4500000.0,15.319587954740548,63.02346372885152,Robbie Keane,27.4,20,0.87,39,2015
1684,5610000.0,15.540061277498879,78.71571243657363,David Villa,13.0,18,0.64,64,2015
1685,660000.0,13.399995114002609,8.736765496731772,Bradley Wright-Phillips,15.0,17,0.53,51,2015
1686,167000.0,12.025749091398891,1.7671451247434813,Cyle Larin,26.6,17,0.8,29,2015
1687,664000.0,13.406037428458571,8.793314140723563,Fanendo Adi,18.8,16,0.67,36,2015
1688,675000.0,13.422467969854667,8.948822911700988,Chris Wondolowski,17.6,16,0.54,39,2015
1689,3000000.0,14.914122846632385,41.817722231929736,Obafemi Martins,35.7,15,0.75,28,2015
1690,4750000.0,15.373655176010823,66.55775397833847,Jozy Altidore,35.1,13,0.65,18,2015
1692,518750.0,13.159177350527045,6.739891505771638,Dom Dwyer,12.5,12,0.42,40,2015
1693,185000.0,12.128111104060462,2.0216140227065424,Will Bruin,22.4,11,0.41,25,2015
1694,2166668.0,14.588701061582181,30.036773583187866,Didier Drogba,23.4,11,1.14,21,2015
1698,250000.0,12.429216196844383,2.9405294875731527,Krisztian Nemeth,17.2,10,0.44,20,2015
1699,82760.0,11.323700131859479,0.5762306822763544,Charlie Davies,20.4,10,0.42,26,2015
1701,890850.0,13.699931342112116,12.000329113108032,Octavio Rivero,9.9,10,0.33,41,2015
1705,142000.0,11.863582336583399,1.413716099794785,C.J. Sapong,20.5,9,0.43,21,2015
1710,285228.0,12.561044139421352,3.43855339520886,Sébastien Le Toux,16.0,8,0.3,25,2015
1712,251667.0,12.435862064065486,2.9640961349567316,Dominic Oduro,16.0,8,0.43,20,2015
1717,427500.0,12.965709567358951,5.449875564708896,Juan Agudelo,13.0,7,0.36,21,2015
1718,901667.0,13.712000551280308,12.153250783622834,Kennedy Igboananike,10.6,7,0.35,22,2015
1722,493333.0,13.108939681396285,6.380567284686797,Álvaro Saborío,13.0,7,0.34,28,2015
1724,100000.0,11.512925464970229,0.8199553378809753,Quincy Amarikwa,7.8,6,0.25,24,2015
1725,110000.0,11.608235644774552,0.9613269478604538,Patrick Mullins,15.8,6,0.52,14,2015
1729,338000.0,12.730801174465157,4.184599655392564,David Texeira,16.7,6,0.39,11,2015
1730,334167.0,12.719396147000488,4.130411917287429,Jack McInerney,17.1,6,0.4,16,2015
1737,374250.0,12.832679302281875,4.697071741568172,Blas Pérez,15.2,5,0.35,16,2015
1738,350004.0,12.765699861971719,4.354302136011929,Fernando Aristeguieta,10.0,5,0.36,20,2015
1741,175000.0,12.072541252905651,1.880242412727064,Alan Gordon,14.7,5,0.46,11,2015
1748,200000.0,12.206072645530174,2.2336714376757603,Maximiliano Urruti,10.3,4,0.33,15,2015
1806,130000.0,11.77528972943772,1.2440701678194106,Olmes García,6.3,2,0.12,15,2015
2130,7115556.0,15.777793931217529,100.0,Sebastian Giovinco,10.5,16,0.69,50,2016
2131,5610000.0,15.540061277498879,78.71571243657363,David Villa,12.2,16,0.66,55,2016
2132,710000.0,13.473020249017498,9.443623546629164,Bradley Wright-Phillips,20.5,15,0.66,38,2016
2134,177000.0,12.083905011555967,1.9085167347229597,Cyle Larin,20.7,12,0.61,26,2016
2135,712500.0,13.476535191124942,9.478966449124034,Fanendo Adi,20.3,12,0.56,28,2016
2136,618750.0,13.335456592865038,8.153607605566423,Dom Dwyer,13.6,12,0.49,32,2016
2139,457500.0,13.033532163697712,5.873990394647331,Ola Kamara,17.9,10,0.73,28,2016
2141,700000.0,13.458835614025542,9.302251936649684,Chris Wondolowski,19.6,9,0.45,16,2016
2143,1000000.0,13.815510557964274,13.543400236034039,Kei Kamara,10.8,9,0.4,30,2016
2144,2166667.0,14.588700600043898,30.036759446026863,Didier Drogba,13.6,8,0.61,24,2016
2149,250000.0,12.429216196844383,2.9405294875731527,Maximiliano Urruti,11.3,7,0.35,25,2016
2150,3500000.0,15.068273526459642,48.886302730903665,Robbie Keane,21.9,7,0.56,16,2016
2151,225000.0,12.323855681186558,2.5871004626244565,C.J. Sapong,14.3,7,0.35,19,2016
2152,200000.0,12.206072645530174,2.2336714376757603,Yura Movsisyan,12.5,7,0.36,25,2016
2165,270000.0,12.506177237980511,3.22327270753211,Jack McInerney,13.5,5,0.52,18,2016
2172,535500.0,13.19095616886994,6.976688952487264,Álvaro Saborío,12.1,4,0.44,10,2016
2173,190000.0,12.154779351142624,2.092299827696282,Andrew Wenger,12.1,4,0.22,16,2016
2175,85000.0,11.350406535472453,0.6078979229117576,Luis Solignac,12.1,4,0.27,15,2016
2177,311667.0,12.649690589120858,3.812325794833603,Will Bruin,9.1,4,0.26,18,2016
2178,1120000.0,13.928839243271277,15.239859555787783,Kevin Doyle,7.3,4,0.21,11,2016
2181,901667.0,13.712000551280308,12.153250783622834,Kennedy Igboananike,7.5,4,0.23,18,2016
2193,260667.0,12.4709990096309,3.0913305839382623,Quincy Amarikwa,6.5,3,0.16,12,2016
2213,760000.0,13.541073712262515,10.150481596526555,Lucas Melano,5.4,2,0.09,12,2016
2217,429273.0,12.969848359153039,5.4749407511582575,Luciano Acosta,5.3,2,0.12,11,2016
